away_team,home_team,Delta (ERA),Delta (RBI),Delta (SLG),Delta (AVG),home_team_win
New York Mets,Kansas City Royals,0.64,-9,-0.017,0.015,1
Philadelphia Phillies,Cincinnati Reds,0.28,104,0.024,0.016,1
Minnesota Twins,Baltimore Orioles,-0.86,20,0.022,0.005,1
Washington Nationals,Atlanta Braves,1,-120,-0.042,-0.001,0
Colorado Rockies,Arizona Diamondbacks,0.18,-96,-0.025,-0.014,0
Seattle Mariners,Texas Rangers,0.37,11,0.003,0.003,0
Toronto Blue Jays,Tampa Bay Rays,0.42,-81,0,-0.005,1
Los Angeles Dodgers,San Diego Padres,0.73,-26,-0.019,-0.014,0
St. Louis Cardinals,Pittsburgh Pirates,0.13,-49,-0.04,0.002,1
Chicago White Sox,Oakland Athletics,0.41,-22,-0.015,-0.011,0
Houston Astros,New York Yankees,0.1,-42,-0.012,0.005,0
San Francisco Giants,Milwaukee Brewers,0.43,-34,0.009,-0.014,0
Detroit Tigers,Miami Marlins,-0.19,-93,-0.044,-0.004,0
Texas Rangers,Seattle Mariners,-0.37,-11,-0.003,-0.003,0
San Diego Padres,Philadelphia Phillies,0.2,-80,-0.006,0.005,0
Los Angeles Angels of Anaheim,Oakland Athletics,0.23,-52,-0.01,-0.014,0
Miami Marlins,New York Mets,-0.48,23,0.023,-0.017,0
Chicago White Sox,Minnesota Twins,0.98,34,0.011,-0.006,0
Kansas City Royals,Houston Astros,-0.15,49,0.017,-0.014,1
Pittsburgh Pirates,Detroit Tigers,0.03,23,0.036,0.01,0
Cincinnati Reds,Chicago Cubs,-1.76,89,0.021,0,1
Kansas City Royals,Houston Astros,-0.15,49,0.017,-0.014,0
San Francisco Giants,Colorado Rockies,1.26,130,0.059,0.017,1
Cincinnati Reds,Chicago Cubs,-1.76,89,0.021,0,1
Atlanta Braves,Washington Nationals,-1,120,0.042,0.001,1
New York Yankees,Toronto Blue Jays,-0.38,81,0.021,-0.004,1
Toronto Blue Jays,Baltimore Orioles,0.44,-18,0.017,0.008,0
Los Angeles Dodgers,Atlanta Braves,0.81,-65,-0.025,0.006,1
Chicago Cubs,St. Louis Cardinals,0.93,-22,0.013,-0.001,0
Arizona Diamondbacks,San Francisco Giants,-1.44,-34,-0.034,-0.003,0
New York Mets,Philadelphia Phillies,1.06,-75,-0.033,-0.006,0
Milwaukee Brewers,Minnesota Twins,1,49,0.014,0.007,1
Washington Nationals,Miami Marlins,0.54,-109,-0.032,0.007,1
Colorado Rockies,Cincinnati Reds,0,-127,-0.049,-0.019,0
Los Angeles Angels of Anaheim,Chicago White Sox,-0.18,-30,0.005,-0.003,0
Toronto Blue Jays,Boston Red Sox,0.22,108,0.035,0.034,0
Chicago White Sox,Tampa Bay Rays,0.1,-9,0.016,-0.014,1
Cincinnati Reds,St. Louis Cardinals,-0.83,67,0.034,-0.001,1
Chicago Cubs,Cincinnati Reds,1.76,-89,-0.021,0,0
Chicago White Sox,Toronto Blue Jays,-0.32,72,0.016,-0.009,0
New York Yankees,Texas Rangers,0.21,99,0.028,0.01,0
Baltimore Orioles,Tampa Bay Rays,-0.02,-63,-0.017,-0.013,1
San Diego Padres,San Francisco Giants,-0.78,21,0.008,0.023,1
Houston Astros,Seattle Mariners,-0.06,46,0.013,0.012,1
Cincinnati Reds,New York Mets,-1.34,-29,0.009,-0.01,1
Cleveland Indians,Minnesota Twins,1.24,-43,-0.009,-0.011,1
Miami Marlins,Los Angeles Dodgers,-0.35,54,0.015,-0.014,0
Oakland Athletics,Detroit Tigers,-0.27,85,0.043,0.021,1
Pittsburgh Pirates,Colorado Rockies,0.7,109,0.055,0.018,0
Boston Red Sox,Atlanta Braves,0.51,-221,-0.077,-0.027,0
St. Louis Cardinals,Arizona Diamondbacks,1.01,-36,-0.01,0.006,1
San Diego Padres,San Francisco Giants,-0.78,21,0.008,0.023,1
